model,description,tags,drop_numeric,drop_categorical,add_numeric,add_categorical,final_feature_count,balanced_accuracy_mean,balanced_accuracy_std,brier_score_mean,brier_score_std,f1_mean,f1_std,lift_at_top_20pct_mean,lift_at_top_20pct_std,log_loss_mean,log_loss_std,optimal_balanced_accuracy_mean,optimal_balanced_accuracy_std,optimal_f1_mean,optimal_f1_std,optimal_precision_mean,optimal_precision_std,optimal_recall_mean,optimal_recall_std,pr_auc_mean,pr_auc_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std,threshold_f1_mean,threshold_f1_std,valid_f1_optimal_mean,valid_f1_optimal_std,delta_f1_mean,delta_optimal_f1_mean,delta_pr_auc_mean,removed_final_features,is_non_degrading_f1
no_gender,Remove gender por baixo sinal esperado e risco de fairness.,"fairness,low_signal",,gender,,,79,0.7695281511036809,0.010410612047948326,0.15553730390024914,0.004549297880269813,0.6401570719861087,0.012297511587314798,2.4915991204299623,0.08467273486569064,0.46790438775801374,0.01191261703547233,0.7614021201201645,0.00901179736496186,0.6344429220649046,0.01327840078002942,0.5635136295783566,0.024879852422844205,0.7276727215380425,0.02346001677967537,0.6557790865231754,0.021730845281428282,0.5510322772320982,0.01075354096472918,0.7640277558744678,0.021562959454239635,0.8452339216951337,0.009751130315604681,0.534,0.03200000000000001,0.6581968017796598,0.013908705105270903,0.0006452513705489382,0.0003961720248272238,-0.001005871955527926,1,True
relationship_summarized,Substitui Partner e Dependents por has_family_context.,"summary,relationship",,"Partner,Dependents",has_family_context,,79,0.7695578732341086,0.009764536540836172,0.1555487917035883,0.004354072586880122,0.6399455885246811,0.011676314128153667,2.5023405983388494,0.07131233290782887,0.4680367400791431,0.011288603083128516,0.7619357705310524,0.014394329390730763,0.6338140498862395,0.018930486494427214,0.557472495843722,0.024021908260230956,0.7356984129259796,0.02713717277432118,0.6555746241109421,0.019932978966867198,0.5498361113198181,0.01036041773197516,0.765633467620536,0.019031267059389203,0.84525215926173,0.009433643719742913,0.5259999999999999,0.030066592756745825,0.6577892160025207,0.013268194939263317,0.0004337679091213076,-0.00023270015383791698,-0.00121033436776119,1,True
full_current,Conjunto atual completo usado pelo campeão.,baseline,,,,,80,0.7688438590285565,0.011229182073249756,0.15537790720143452,0.004373465957507467,0.6395118206155598,0.013443422635878548,2.4969758772320305,0.07607119133703953,0.46734560379358187,0.011407861499427296,0.7600169697952885,0.00970520953515192,0.6340467500400774,0.013703275959944985,0.5691469111797633,0.022044195852065695,0.716978968043469,0.022449287362272235,0.6567849584787033,0.021721690874513457,0.5511936105446453,0.011784034510952527,0.761885851098909,0.022344039856640192,0.8456547105883254,0.009667532122234163,0.5479999999999999,0.034871191548325395,0.6584736331938378,0.015079905406928124,0.0,0.0,0.0,0,True
no_gender_partner,Remove gender e Partner mantendo demais variáveis relacionais.,low_signal,,"gender,Partner",,,78,0.7685834457624656,0.00934199690621593,0.15556422420280738,0.004468827721307579,0.6388561985490845,0.011033550751573886,2.483577918830843,0.049665128265567085,0.4677416581116124,0.011789810524611989,0.7634130540285424,0.014345370109233821,0.6355535134653038,0.01772993307690983,0.5588930700071355,0.017242993733255423,0.737301257329644,0.028492945723318813,0.657537189790222,0.022491720272733162,0.5493888636082833,0.00997673012151701,0.7634915628449772,0.020295588317569616,0.845495213014672,0.009833436746913362,0.5299999999999999,0.02828427124746191,0.6560674945676583,0.014801241542192969,-0.0006556220664752921,0.0015067634252263762,0.0007522313115186918,2,False
service_counts_only,Remove serviços individuais e mantém contagens/perfis sintéticos.,"summary,services",,"PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies",,service_intensity_bucket,76,0.7688366873864059,0.007766500759927086,0.15611484527356342,0.004530745692927965,0.6386972995151089,0.009021628655373683,2.49161833978732,0.054234615912683026,0.46914275342896417,0.011878975272506222,0.7635934915624472,0.010671363121025871,0.6356121908451782,0.014441359345166788,0.5584186132431739,0.02497984724776404,0.7399764877922897,0.0305754810356694,0.6550295130640459,0.02163389969708134,0.5475464798640273,0.009311727604246527,0.7667029863371134,0.019322512635646674,0.8443743359292872,0.009879285265777984,0.5259999999999999,0.03440930106817052,0.658326571891324,0.014251731312652597,-0.0008145211004508823,0.0015654408051007929,-0.0017554454146574416,4,False
no_gender_relationship_summarized,Remove gender e resume Partner/Dependents em has_family_context.,"summary,fairness,relationship",,"gender,Partner,Dependents",has_family_context,,78,0.7683444479838986,0.011046875973028204,0.15555577646419322,0.0045024421082447835,0.6383070396271899,0.01302811273211703,2.491629329565856,0.0553731496402863,0.46774615791903207,0.011797762043733865,0.765915746428135,0.012965845998666578,0.6388048433052316,0.017808617056907703,0.5613941376283199,0.02392362934836035,0.7421126578830411,0.022420205892887526,0.657504423411049,0.022520501661053693,0.5480733761464571,0.011566201217423,0.7645596478903529,0.0234233346623836,0.8455101148197309,0.009870521417913992,0.5279999999999999,0.026381811916545844,0.6558620141668744,0.014383559936069327,-0.0012047809883698468,0.004758093265154195,0.0007194649323456481,2,False
no_demographics,Remove variáveis demográficas e derivada de idoso com contrato mensal.,"fairness,demographic","SeniorCitizen,senior_month_to_month","gender,Partner,Dependents",,,75,0.7682275981812456,0.010336195224068827,0.1554454292464252,0.004534147517350841,0.6380591894738685,0.012292361471497962,2.491622145903749,0.05823895575096703,0.46742942494306644,0.011872822066972941,0.761907653319571,0.00958943225168807,0.6345450066903707,0.014191420384814628,0.5615285424066027,0.0271202774475389,0.7319708678011785,0.029440237094111102,0.6577655785404428,0.02143902894390801,0.547308224040951,0.010252271528765821,0.7650987082622471,0.019677461006898475,0.8456780919049992,0.009915561113332604,0.5319999999999998,0.041182520563948014,0.6569822188323322,0.014770347126718613,-0.0014526311416912518,0.0004982566502933494,0.00098062006173949,5,False
streaming_summarized,Substitui StreamingTV e StreamingMovies por streaming_bundle.,"summary,services",,"StreamingTV,StreamingMovies",,,78,0.7678095951842583,0.011481215807666723,0.1554917636063689,0.004555612864120355,0.6377513546771366,0.014060263903507545,2.4943001773823723,0.07513783103017933,0.4676588108627939,0.011805632780902742,0.7598681983138003,0.009577490866534605,0.6329094653323496,0.0140575291175658,0.5638772357897605,0.024427114755376098,0.7228670556694528,0.022822331997846276,0.6575388609301517,0.02206214857592486,0.547785535150428,0.01362542315737505,0.7634901291737755,0.021810640582341063,0.8451652376853496,0.009679996015227727,0.5379999999999999,0.0342928563989645,0.6572929992441328,0.015793542530797476,-0.0017604659384231613,-0.0011372847077277815,0.0007539024514483517,2,False
compact_fair_relationship_charges,"Remove gender, resume família e simplifica derivadas de cobrança.","summary,fairness,redundancy","avg_monthly_spend,total_to_monthly_ratio","gender,Partner,Dependents",has_family_context,,76,0.767698994959058,0.008965266324083506,0.15659250928595253,0.004288716368386215,0.6371199297755495,0.010609117062198987,2.510402570281649,0.06543184372236771,0.4705545602701264,0.01109390596050174,0.7618706236363186,0.008419443254595737,0.634284022676777,0.012367710211946948,0.559658340968533,0.018860113360852117,0.7324783874066322,0.011058373915909728,0.65637059230258,0.020300480926232066,0.5454559250626494,0.010120497945652897,0.7661682269788247,0.019184897127468167,0.8452140449629899,0.009374481727290725,0.5319999999999999,0.019390719429665314,0.6567372689429647,0.014696647702978767,-0.0023918908400102357,0.00023727263669959253,-0.0004143661761233375,4,False
charges_simplified,Remove derivadas muito correlacionadas com tenure e MonthlyCharges.,"redundancy,charges","avg_monthly_spend,total_to_monthly_ratio",,,,78,0.7674812257853114,0.01039228488857193,0.15662199993830414,0.0042407273234121995,0.6366545452164147,0.011977241286401983,2.496978208860996,0.07616010973759392,0.47043060310482987,0.010994090116646663,0.7647258107215762,0.008634841396919595,0.6368129790936192,0.011761014563405293,0.5579115876085071,0.018363992639033884,0.7426345142005133,0.01875595329357157,0.6551278521080462,0.02102673986139543,0.544541690571811,0.009693568255866718,0.7666986853235078,0.023400051351596306,0.8449243232411451,0.00936110064714716,0.5239999999999999,0.019595917942265426,0.6532317135989777,0.012435792892518761,-0.002857275399145043,0.0027662290535418466,-0.0016571063706570799,2,False
